Instrument,ITEM,Metric,Human,Encoder,un1,un2,un3,gte,e5,GPT,N,NR,ND
MQI,LINK,CK,0.3078128163795739,0.36067492530841305,0.3784548296082205,0.3561859679236175,0.4241413383853643,0.35728045786549695,0.35728045786549695,NA,NA,NA,NA
MQI,LINK,QWK,0.4063938340215155,0.5517427010764244,0.6020706694516361,0.5870991722044099,0.6049797770243419,0.5373988724559228,0.5373988724559228,NA,NA,NA,NA
MQI,LINK,ACC,0.7028415210007485,0.7127670661803035,0.7307351638618252,0.7316784869976357,0.7457927369353403,0.7023914968999118,0.7023914968999118,NA,NA,NA,NA
MQI,LINK,ACC2,0.9722475354154583,0.9706096925482026,0.9698848538529671,0.9787234042553192,0.9760850310008857,0.9778565101860052,0.9778565101860052,NA,NA,NA,NA
MQI,LINK,CORR,0.4063940004240922,0.5575733362299412,0.6115413167421917,0.6004214612790777,0.6077855291594195,0.5392095813314498,0.5392095813314498,NA,NA,NA,NA
MQI,LINK,CORp,0.4105506019226786,0.5346457400756851,0.5951144077401201,0.5724595650292159,0.5879534300208341,0.5176171497735903,0.5176171497735903,NA,NA,NA,NA
MQI,LINK,CORt,0.3952814348211145,0.5079164254943226,0.5662782967871511,0.5481494951851008,0.5612488464888358,0.4925851329720126,0.4925851329720126,NA,NA,NA,NA
MQI,LINK,ICC,0.1384161412358776,0.1349374850863482,0.13367799227166383,0.14110241662432788,0.13215691737735802,0.13745807329472667,0.13745807329472667,NA,NA,NA,NA
MQI,LINK,AdjICC,0.49081396908689734,0.4834483726474298,0.48074369434408465,0.4963990042195353,0.47744994174744243,0.48880053851789007,0.48880053851789007,NA,NA,NA,NA
MQI,EXPL,CK,0.22643347863636423,0.2687234364767362,0.29729415718867896,0.3347320472995905,0.25930052860243175,0.2770442768673381,0.2770442768673381,0.04527037440279997,0.02097008968399295,0.07911072766297718,0.04098757463288685
MQI,EXPL,QWK,0.2713060737960249,0.4409135264779372,0.4918388871596555,0.4830803333996464,0.4695473405346495,0.44418375382097147,0.44418375382097147,0.03649823197242568,0.03954955361847585,0.11950612408949597,-0.017827675209094573
MQI,EXPL,ACC,0.6967939690166499,0.7105784262636778,0.7342781222320642,0.7151300236406624,0.7209920283436673,0.7307351638618254,0.7307351638618254,0.31762488218661655,0.31105398457583555,0.42159383033419023,0.1837455830388692
MQI,EXPL,ACC2,0.9795377350675175,0.9704012506513822,0.9698848538529671,0.9763593380614658,0.967227635075288,0.9725420726306464,0.9725420726306464,0.8633364750235628,0.9485861182519281,0.9177377892030848,0.6713780918727915
MQI,EXPL,CORR,0.27131755828031323,0.45266331084813877,0.5096268516771383,0.4932027872362966,0.48807693362490034,0.4522872643837087,0.4522872643837087,0.0729339235514957,0.07807144939424132,0.18228958220064043,-0.06469357492102258
MQI,EXPL,CORp,0.2627285515961202,0.4294553507990365,0.5006545863087268,0.4835698665875943,0.4813985871672958,0.4355178014311379,0.4355178014311379,0.0678604824203459,0.08071450204725333,0.17641866679189727,-0.08718089618067622
MQI,EXPL,CORt,0.2577122982543963,0.41462388762431623,0.48630941162998154,0.4651290145835023,0.46817664789196534,0.4226786813317305,0.4226786813317305,0.06474689583053188,0.07811963136478085,0.16813920969494614,-0.08569912404544501
MQI,EXPL,ICC,0.15218675800164239,0.164032242963748,0.13791562237362312,0.13139750099758407,0.13917420909730616,0.13688981251457155,0.13688981251457155,0.15785987935020968,0.12681438883943327,0.13007110761601182,0.11936808785365237
MQI,EXPL,AdjICC,0.5185433735163865,0.5407177395989611,0.48976352642660825,0.47579417684942166,0.4923990281019685,0.4876008977278906,0.4876008977278906,0.5293464457770896,0.4656382087328656,0.4728839499663085,0.4485160254647048
MQI,MMETH,CK,0.4145168530556167,0.27274745384765303,0.46072276660206896,0.37003769721226754,0.325291253986906,0.2540161057195956,0.2540161057195956,NA,NA,NA,NA
MQI,MMETH,QWK,0.47328396456413335,0.44088318835608065,0.46244613933240913,0.5320521118969997,0.5384029149712809,0.4540063913214323,0.4540063913214323,NA,NA,NA,NA
MQI,MMETH,ACC,0.8492300049677073,0.7890568004168854,0.8759964570416295,0.8486997635933808,0.8423383525243577,0.7732506643046941,0.7732506643046941,NA,NA,NA,NA
MQI,MMETH,ACC2,0.9917204835237629,0.9733194372068802,0.9937998228520815,0.9763593380614659,0.9787422497785649,0.9716563330380866,0.9716563330380866,NA,NA,NA,NA
MQI,MMETH,CORR,0.4732988943534767,0.4844635654638239,0.4801029643503387,0.572905999601908,0.5694435055570302,0.5141279517457816,0.5141279517457816,NA,NA,NA,NA
MQI,MMETH,CORp,0.46492019684836594,0.4516823289035692,0.4944354418468895,0.5710426679843355,0.5780760960550063,0.4747987112433976,0.4747987112433976,NA,NA,NA,NA
MQI,MMETH,CORt,0.45989358998838176,0.4395649408528433,0.4914772241234611,0.5612832761976833,0.5698333182736848,0.46040270319412496,0.46040270319412496,NA,NA,NA,NA
MQI,MMETH,ICC,0.14578593282290012,0.17716802416803262,0.13689500079025665,0.15124273349096676,0.15237538969316242,0.15644431666067132,0.15644431666067132,NA,NA,NA,NA
MQI,MMETH,AdjICC,0.5059289658179359,0.5636788258246482,0.4876118688700321,0.5167118430759727,0.5189081671992344,0.5266830503893943,0.5266830503893943,NA,NA,NA,NA
MQI,MGEN,CK,0.15171175360102845,0.1766627848316108,0.2785835289921842,0.3788546255506603,0.2450292745267032,0.15719983955789413,0.15719983955789413,NA,NA,NA,NA
